fix	19758
minor fix	17527
bugfix	14972
bug fix	13735
Minor fix	7833
fix test	7433
fix bug	6962
debug	6679
small fix	6115
Bug fix	5796
Bugfix	5161
Fix test	4961
fixes	4056
fix tests	3843
Fixes	2614
Fix bug	2511
fixed bug	2316
Fix	2294
debugging	2127
Fix tests	2068
fixed	1882
Small fix	1844
Fixed bug	1750
Fix.	1604
bug fixed	1574
Fix test.	1315
fix name	1287
Bug fix.	1277
Bugfix.	1134
Bug fixes	1084
bug	1043
test fix	1037
fix error	986
bug fixes	959
修改bug	946
Fix error	924
fix a bug	903
hotfix	878
quick fix	866
Fixed	842
fix type	822
fix bugs	787
Debug	744
fix issue	735
Fix issue	691
fix path	676
fix.	657
Debugging	615
Fix a bug	588
Fix bug.	543
fixup	531
doc fix	518
fix url	443
fix ref	441
fixing	421
fix setup	403
fix build	403
Fix for	395
minor bug	382
Fix type	374
fix doc	354
Hotfix	352
fix?	352
Quick fix	348
[FIX]	332
small bug	324
fix UDP	322
fix m2	318
bugs	316
bom fix	314
fix for	308
fixy	302
Test fix	287
Fix path	286
setup fix	284
fix again	283
BugFix	283
Bug fixed	273
tiny fix	271
Fix name	270
bugfixes	270
buglet	258
fix docs	256
fix fix	254
Fix build	254
type	243
FIX	241
fix title	240
Fix url	238
Fix docs	238
Fix host	236
Fix doc	233
Fix .	232
error	225
quickfix	214
fix text	212
bugfix.	210
fixes.	208
fix index	206
Fix bugs	203
[fix]	201
patch fix	196
Fix merge	194
issue	193
fix regex	190
path fix	186
fix test.	184
Fixed.	182
Fix setup	182
fix help	180
Bug Fix	176
Bugfixes	174
bug fix.	174
fix args	172
Fixes .	170
bugfixing	170
fix usals	168
fix log	167
fix pip	166
error fix	164
name fix	163
set fix	158
Fix URL	157
Fixup	156
fix merge	156
Fixes.	156
Minor Fix	155
Doc fix	154
tiny bug	150
some fix	150
fix 1312	148
Type	148
�޸�bug	148
kivy: fix	147
fix crash	146
uri fix	146
mistake	146
Name fix	138
fix code	132
Bug	130
Fix regex	129
fixed url	128
Fix nit.	128
SQL fix	128
url fix	127
fixbug	124
- bug fix	123
hot fix	122
Fix logic	122
Bug Fixes	122
Fix again	121
fix link	121
Fix link	119
Fix up	119
fix tyop	118
bug-fix	118
Fix index	117
debug off	116
fix flake	116
Bugger	116
#bug	116
Minor bug	114
type fix	114
Test fix.	114
bug_fix	114
fix print	113
merge fix	112
fix bytes	110
fix:	109
Fix key	104
.. fix	104
FIX popup	102
Nit fix	102
FixBug	98
Debug.	97
logic fix	96
fix #676	96
smallfix	96
fix 2810	96
fix #661	95
Fix crash	95
fix2	94
Quikfix	94
silly bug	92
Fix patch	90
text fix	90
Fix arg.	90
fix arg	90
a bug fix	90
